EmployeeCode,DateofJoin,DateOfRelieving,AttritionMonth,ExperienceInAGS,Experience.Range,EmployeeAge,Gender,MaritalStatus,Shift,WorkFacility,WorkLocation,JobRole,Designation,ExperienceType,LastReviewType,LastReviewDate,LastReviewRating,LastButOneReviewType,LastButOneReviewDate,LastButOneReviewRating,ProdAvgDuringNotice,QualAvgDuringNotice,ProdAvgBeforeNotice,QualAvgBeforeNotice,ProdAvgDuringNoticeRange,QualAvgDuringNoticeRange,ProdAvgBeforeNoticeRange,QualAvgBeforeNoticeRange,Course,Last30DaysLeaveCount,TotalExtraHoursWorked,Function,Shift_Name,Rating Bracket,TransportMode,Distance,TravelTimeRange,TravelTime,Availability_Filter,Available,Involuntary Exit,Voluntary Exit,VolInVol Attrition,Attrition,ExitType,ReasonofLeaving,RptEmployeeName,RptEmployeeCode,Rpt2EmployeeCode,DateofBirth,PrevShift,PrevWorkFacility,PrevWorkLocation,CurrentAddressCity,CurrentAddressPincode,PermenantAddressCity,PermenantAddressPincode,RptEffectiveFrom,RptSpanofControl,Process,Client,SubClient,ProjectEffectiveFrom,PrevVertical,PrevProcess,PrevClient,PrevSubClient,PrevEmployer,EngagementIndex,StaffingEmployeeStatus,Vertical,Department,DepartmentGroup
R04581,1/19/2015,3/10/2015,2015-03,2, Month 01-03,23,Male,UnMarried,05:30PM-02:30AM,NMR,Chennai,Team Member,Junior Process Associate,Lateral,NA,,,,,,51.17,95.62,,,< 80%,095 - 098 %,,,BE/Btech,10,0,Voice,Night,NA,Cab,12.5,< 1 Hour,38,Employee Left,0,1,0,1,1,Involuntary,Career Shift,niran.kumar,R00141,R00005,4/24/1992,,,,Chennai,600118,Chennai,600118,1/21/2015,14,AR Follow Up,IHSI,IHSI,1/21/2015,,,,,India Healthcare Solutiobns Pvt Ltd,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04582,1/19/2015,9/15/2015,2015-09,8, Month 06-12,22,Male,UnMarried,04:00PM-01:00AM,Prince Infocity,Chennai,Team Member,Process Associate - Level 1,Lateral,PIP,8/19/2015,3.74,PIP,8/19/2015,3.74,105.36,95.91,68.78,94.77,100 - 110 %,095 - 098 %,< 80%,090 - 095 %,HSC,8,0,Voice,Night,B +,Cab,4.6,< 1 Hour,17,Employee Left,0,1,0,1,1,Involuntary,Job abandonment,umamageshwari.c,R00267,R00450,2/13/1993,05:30PM-02:30AM,,,Chennai,600094,Chennai,600094,1/21/2015,21,AR Follow Up,McKesson,NYU_Direct,1/21/2015,,,,,SCIO Management,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04583,1/19/2015,2/18/2015,2015-02,1, Month <= 01,22,Female,UnMarried,05:30PM-02:30AM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Lateral,NA,,,,,,,,,,,,,,HSC,15,0,Voice,Night,NA,Cab,9.6,< 1 Hour,29,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,umamageshwari.c,R00267,R00450,3/16/1993,,,,Chennai,600004,Chennai,600004,1/21/2015,27,AR Follow Up,McKesson,NYU_Direct,1/27/2015,,,,,Omega,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04589,1/20/2015,7/20/2016,2016-07,18, Month 12-24,26,Male,UnMarried,04:00PM-01:00AM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/15/2016,3.67,Annually,7/15/2016,3.67,100.68,99.08,96.1,99.78,100 - 110 %,098 - 100 %,095 - 100 %,098 - 100 %,BA/Bcom/BPharm,20,6,Voice,Night,B +,Cab,12.1,< 1 Hour,29,Employee Left,0,0,1,1,1,Voluntary,Health Grounds,vignesh.subramanian,R00487,R03640,11/17/1990,06:00PM-03:00AM,NMR,Chennai,Tiruverkadu,600077,Tiruverkadu,600077,4/13/2015,8,AR Follow Up,IHSI,IHSI,1/21/2015,,,,,LISTER TECHNALOGIES,Amber,Long Leave,Accounts Receivable,Revenue Cycle Management,Operations
R04592,1/20/2015,,,22, Month 12-24,28,Female,UnMarried,06:00PM-03:00AM,NMR,Chennai,Team Member,Process Associate - Level 1,Lateral,Annually,7/18/2016,4.33,Annually,7/18/2016,4.33,120.31,98.2,140.92,98.53,110% +,098 - 100 %,110% +,098 - 100 %,BCA/BBA,2,0,Voice,Night,A,Cab,,,0,Current Employee,1,0,0,0,0,,,vignesh.subramanian,R00487,R03640,5/20/1988,04:00PM-01:00AM,NMR,Chennai,Chennai,600100,Viluppuram,628207,3/23/2016,,AR Follow Up,IHSI,IHSI,4/1/2016,AR,AR Follow Up,McKesson,Tenet – PSA,DELL BPS,Amber,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04593,1/21/2015,3/17/2015,2015-03,2, Month 01-03,29,Male,UnMarried,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Industry Fresher,NA,,,,,,,,,,< 80%,< 90%,,,BA/Bcom/BPharm,14,0,Voice,Night,NA,Cab,14.8,< 1 Hour,39,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,Peter.Anthony,R03405,R00450,6/18/1986,,Tidel 5th,Chennai,Chennai,600053,Chennai,600012,3/4/2015,18,AR Follow Up,AGS,AGS,1/22/2015,,,,,Raja,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04594,1/21/2015,5/31/2016,2016-05,17, Month 12-24,24,Male,UnMarried,06:00PM-03:00AM,NMR,Chennai,Team Member,Junior Process Associate,Fresher,Annually,2/15/2016,3.01,Annually,2/15/2016,3.01,104.42,98.77,115.25,98.88,100 - 110 %,098 - 100 %,110% +,098 - 100 %,BSc,5,0,Voice,Night,B,Cab,9.2,< 1 Hour,29,Employee Left,0,0,1,1,1,Voluntary,Leaving the country,Ashok.Revennore,R01904,R06159,4/3/1992,06:30PM-03:30AM,Tidel 5th,Chennai,Chennai,600087,Chennai,600087,2/13/2015,21,AR Follow Up,McKesson,Vancouver,2/13/2015,AR,AR Follow Up,AGS,AGS,eshcol tech solution,Amber,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04595,1/21/2015,4/24/2015,2015-04,3, Month 01-03,27,Male,UnMarried,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Fresher,NA,,,,,,45.63,26.56,,,< 80%,< 90%,,,BE/Btech,14,0,Voice,Night,NA,Cab,3.7,< 1 Hour,15,Employee Left,0,0,1,1,1,Voluntary,Family Reason,Peter.Anthony,R03405,R00450,2/28/1988,,Tidel 5th,Chennai,Chennai,600095,Chennai,600095,3/4/2015,31,AR Follow Up,McKesson,NYU,3/4/2015,AR,AR Follow Up,AGS,AGS,Allsec Technologies,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04596,1/21/2015,2/6/2015,2015-02,1, Month <= 01,21,Male,UnMarried,06:30PM-03:30AM,Tidel 5th,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,,,,,< 80%,< 90%,,,BA/Bcom/BPharm,3,0,Voice,Night,NA,Two Wheeler,3.4,< 1 Hour,12,Employee Left,0,0,0,0,1,Training,Poor Performance,Reema.Ashokkumar,R02336,R00070,1/16/1994,,,,Chennai,600020,Dharmapuri,635203,1/22/2015,25,AR Follow Up,AGS,AGS,1/22/2015,,,,,,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04597,1/21/2015,3/17/2016,2016-03,14, Month 12-24,26,Male,UnMarried,06:00PM-03:00AM,NMR,Chennai,Team Member,Trainee - Process Associate,Fresher,Confirmation,8/21/2015,1.96,Confirmation,8/21/2015,1.96,63.58,95.83,70.59,92.66,< 80%,095 - 098 %,< 80%,090 - 095 %,BCA/BBA,0.5,5,Voice,Night,E,Cab,7.1,< 1 Hour,19,Employee Left,0,1,0,1,1,Involuntary,Poor Performance,Ashok.Revennore,R01904,R06159,9/2/1990,06:30PM-03:30AM,Tidel 5th,Chennai,Chennai,600037,Chennai,600037,2/13/2015,26,AR Follow Up,McKesson,Vancouver,2/13/2015,AR,AR Follow Up,AGS,AGS,Hinduja Global Solutions,Amber,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04598,1/21/2015,8/18/2015,2015-08,7, Month 06-12,24,Male,UnMarried,06:30PM-03:30AM,NMR,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,72.65,94.41,86.41,62.85,< 80%,090 - 095 %,080 - 095 %,< 90%,BSc,15,16,Voice,Night,NA,Cab,7.9,< 1 Hour,23,Employee Left,0,1,0,1,1,Involuntary,Compliance,Mohamed.Aashiq,R01566,R05427,2/20/1991,,Tidel 5th,Chennai,Chennai,600002,Chennai,600002,3/9/2015,13,AR Follow Up,McKesson,BRONX,3/9/2015,AR,AR Follow Up,AGS,AGS,Aegis,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R04599,1/21/2015,2/9/2015,2015-02,1, Month <= 01,26,Female,UnMarried,06:30PM-03:30AM,Tidel 5th,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,,,,,< 80%,< 90%,,,BSc,4,0,Voice,Night,NA,Cab,13,< 1 Hour,39,Employee Left,0,0,0,0,1,Training,Poor Performance,Reema.Ashokkumar,R02336,R00070,2/24/1989,,,,Chennai,600094,Chennai,600094,1/22/2015,25,AR Follow Up,AGS,AGS,1/22/2015,,,,,source Hov,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04600,1/21/2015,5/23/2016,2016-05,16, Month 12-24,22,Male,UnMarried,06:00PM-03:00AM,NMR,Chennai,Team Member,Trainee - Process Associate,Fresher,PIP,3/23/2016,2.25,PIP,3/23/2016,2.25,94.01,92.45,109.21,94.22,080 - 095 %,090 - 095 %,100 - 110 %,090 - 095 %,Diploma,15,0,Voice,Night,D,Cab,11.9,< 1 Hour,30,Employee Left,0,1,0,1,1,Involuntary,Compensation,Rajkumar.Iyyapan,R00595,R00297,12/28/1994,04:00PM-01:00AM,Tidel 5th,Chennai,Chennai,600053,Kolathur,600099,12/14/2015,17,AR Follow Up,McKesson,Louisville,3/5/2015,AR,AR Follow Up,McKesson,Akron,,Red,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04601,1/21/2015,4/27/2015,2015-04,3, Month 01-03,28,Male,UnMarried,06:30PM-03:30AM,NMR,Chennai,Team Member,Junior Process Associate,Fresher,NA,,,,,,36.99,66,,,< 80%,< 90%,,,BE/Btech,5.5,0,Voice,Night,NA,Cab,12.9,< 1 Hour,35,Employee Left,0,0,1,1,1,Voluntary,Career Shift,roshini.ramachandran,R00297,R00264,10/10/1987,,Tidel 5th,Chennai,Alandur,600016,Pondicherry,605011,3/4/2015,26,AR Follow Up,McKesson,Louisville,3/4/2015,AR,AR Follow Up,McKesson,Akron,Lourdu Felix,Amber,,Accounts Receivable,Revenue Cycle Management,Operations
R04602,1/21/2015,10/9/2015,2015-10,9, Month 06-12,26,Male,UnMarried,04:00PM-01:00AM,NMR,Chennai,Team Member,Junior Process Associate,Fresher,Confirmation,10/2/2015,1.59,Confirmation,10/2/2015,1.59,71.99,87.38,90.46,91.14,< 80%,< 90%,080 - 095 %,090 - 095 %,BE/Btech,0,13,Voice,Night,E,Cab,30,< 1 Hour,57,Employee Left,0,1,0,1,1,Involuntary,Poor Performance,Mohamed.Aashiq,R01566,R05427,8/17/1989,06:30PM-03:30AM,Tidel 5th,Chennai,Chennai,600073,Kovilpatti,628502,3/9/2015,14,AR Follow Up,McKesson,BRONX,3/9/2015,AR,AR Follow Up,AGS,AGS,Lycatel India Pvt Ltd,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04603,1/21/2015,3/17/2015,2015-03,2, Month 01-03,23,Female,UnMarried,06:30PM-03:30AM,Tidel 5th,Chennai,Team Member,Junior Process Associate,Fresher,NA,,,,,,,,,,< 80%,< 90%,,,BE/Btech,21,0,Voice,Night,NA,Cab,22.6,< 1 Hour,50,Employee Left,0,0,0,0,1,Training,Job abandonment,Reema.Ashokkumar,R02336,R00070,3/16/1992,,,,Chennai,600037,Vellore,606601,1/22/2015,5,AR Follow Up,AGS,AGS,1/22/2015,,,,,Deepika Venkatesan,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04604,1/21/2015,5/26/2015,2015-05,4, Month 03-06,24,Male,UnMarried,06:30PM-03:30AM,NMR,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,49.75,96.1,,,< 80%,095 - 098 %,< 80%,< 90%,BCA/BBA,17,0,Voice,Night,NA,Cab,30,< 1 Hour,57,Employee Left,0,1,0,1,1,Involuntary,Job abandonment,Ashok.Revennore,R01904,R01718,10/16/1991,,Tidel 5th,Chennai,Chennai,600073,Ghaziabad,201011,2/13/2015,19,AR Follow Up,McKesson,Vancouver,2/13/2015,AR,AR Follow Up,AGS,AGS,,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R04605,1/21/2015,4/3/2015,2015-04,2, Month 01-03,25,Male,UnMarried,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,49,49,,,< 80%,< 90%,,,ME/Mtech,6,0,Voice,Night,NA,Cab,12.6,< 1 Hour,28,Employee Left,0,0,1,1,1,Voluntary,Higher Studies,DivyaDevi.Sivashankaran,R00758,R02251,10/3/1990,,Tidel 5th,Chennai,Chennai,600113,Kakinada,533001,2/19/2015,34,AR Follow Up,McKesson,UHS PB,2/19/2015,AR,AR Follow Up,AGS,AGS,visakha enterprises,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04606,1/21/2015,3/20/2015,2015-03,2, Month 01-03,26,Male,UnMarried,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,,,,,< 80%,< 90%,,,BE/Btech,11,0,Voice,Night,NA,Cab,30,>= 1Hour,90,Employee Left,0,0,1,1,1,Voluntary,Family Reason,Peter.Anthony,R03405,R00450,6/12/1989,,Tidel 5th,Chennai,West Godavari,533125,West Godavari,533125,3/4/2015,24,AR Follow Up,McKesson,NYU,3/4/2015,AR,AR Follow Up,AGS,AGS,Fourth Dimension Projects,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04607,1/21/2015,5/4/2015,2015-05,3, Month 01-03,23,Male,UnMarried,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,41.37,29.65,,,< 80%,< 90%,,,BE/Btech,8,0,Voice,Night,NA,Cab,14.2,< 1 Hour,30,Employee Left,0,0,1,1,1,Voluntary,Health Grounds,Peter.Anthony,R03405,R00450,11/6/1992,,Tidel 5th,Chennai,Chennai,600044,Ernakulam,682024,3/4/2015,40,AR Follow Up,McKesson,NYU,3/4/2015,AR,AR Follow Up,AGS,AGS,,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04608,1/21/2015,9/1/2015,2015-09,7, Month 06-12,23,Female,UnMarried,04:00PM-01:00AM,NMR,Chennai,Team Member,Trainee - Process Associate,Fresher,Confirmation,8/24/2015,1.52,Confirmation,8/24/2015,1.52,54.28,84.47,67.25,93.75,< 80%,< 90%,< 80%,090 - 095 %,BA/Bcom/BPharm,4,7,Voice,Night,E,Cab,15.3,< 1 Hour,39,Employee Left,0,1,0,1,1,Involuntary,Poor Performance,roshini.ramachandran,R00297,R00264,6/10/1992,06:30PM-03:30AM,NMR,Chennai,Chennai,600116,Chennai,600014,2/18/2015,12,AR Follow Up,McKesson,Louisville,2/19/2015,AR,AR Follow Up,AGS,AGS,,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R04610,1/21/2015,4/9/2015,2015-04,3, Month 01-03,28,Female,Married,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Fresher,NA,,,,,,49,49,,,< 80%,< 90%,,,BA/Bcom/BPharm,15,0,Voice,Night,NA,Cab,8.4,< 1 Hour,25,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,DivyaDevi.Sivashankaran,R00758,R02251,6/22/1987,,Tidel 5th,Chennai,Chennai,600101,Chennai,600101,2/19/2015,33,AR Follow Up,McKesson,UHS PB,2/19/2015,AR,AR Follow Up,AGS,AGS,Global Service,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R04611,1/21/2015,12/24/2015,2015-12,11, Month 06-12,29,Male,UnMarried,06:00PM-03:00AM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Fresher,Confirmation,8/20/2015,3.54,Confirmation,8/20/2015,3.54,119.14,96.24,107.64,96.22,110% +,095 - 098 %,100 - 110 %,095 - 098 %,BE/Btech,10,0,Voice,Night,B +,Cab,10.4,< 1 Hour,28,Employee Left,0,1,0,1,1,Involuntary,Personal Reasons,Peter.Anthony,R03405,R00450,7/1/1986,06:30PM-03:30AM,Tidel 5th,Chennai,Chennai,600042,Vellore,604306,3/4/2015,29,AR Follow Up,McKesson,NYU,3/4/2015,AR,AR Follow Up,AGS,AGS,Tech India Infoway PVT LTD,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04612,1/21/2015,3/4/2016,2016-03,14, Month 12-24,23,Male,UnMarried,06:00PM-03:00AM,VEL,Vellore,Team Member,Trainee - Process Associate,Fresher,Annually,2/15/2016,3.5,Annually,2/15/2016,3.5,109.51,93.67,114.83,98.71,100 - 110 %,090 - 095 %,110% +,098 - 100 %,BE/Btech,2,12,Voice,Night,B +,Cab,30,>= 1Hour,90,Employee Left,0,0,1,1,1,Voluntary,Leaving the country,Saravanan.DuraiRaj,R00863,R03405,2/1/1993,06:30PM-03:30AM,Tidel 5th,Chennai,Chennai,600088,Chennai,600088,6/19/2015,8,AR Follow Up,McKesson,NYU,3/4/2015,AR,AR Follow Up,AGS,AGS,,Red,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04613,1/21/2015,2/5/2016,2016-02,13, Month 12-24,26,Female,UnMarried,06:30PM-03:30AM,HYD,Hyderabad,Team Member,Trainee - Process Associate,Fresher,Half-Yearly,1/21/2016,2.72,Half-Yearly,1/21/2016,2.72,90.89,95.98,94.01,93.63,080 - 095 %,095 - 098 %,080 - 095 %,090 - 095 %,MBA,1,19,Voice,Night,C,Cab,30,>= 1Hour,90,Employee Left,0,0,1,1,1,Voluntary,Marriage,pratheesh.gangadharan,R00083,R03378,6/27/1990,,NMR,Chennai,Chennai,600017,Kanchipuram,631501,1/0/1900,21,AR Follow Up,MSOC,MSOC,4/15/2015,AR,AR Follow Up,McKesson,Vancouver,,Red,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04614,1/21/2015,4/9/2015,2015-04,3, Month 01-03,30,Male,Married,06:30PM-03:30AM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Fresher,NA,,,,,,90.52,66.67,,,080 - 095 %,< 90%,,,BCA/BBA,15,0,Voice,Night,NA,Cab,8.4,< 1 Hour,25,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,umamageshwari.c,R00267,R00450,6/24/1985,,Tidel 5th,Chennai,Chennai,600101,Chennai,600101,1/0/1900,28,AR Follow Up,McKesson,KDMC,2/24/2015,AR,AR Follow Up,AGS,AGS,Sutherland Global Services,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04615,1/22/2015,,,22, Month 12-24,30,Male,UnMarried,10:00AM-07:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/25/2016,3.95,Annually,7/25/2016,3.95,112.76,100,110.22,99.67,110% +,098 - 100 %,110% +,098 - 100 %,BA/Bcom/BPharm,1,20,Non-Voice,Day,B +,Train,,,0,Current Employee,1,0,0,0,0,,,prakash.gandhi,R00566,R00041,3/29/1986,06:30AM-03:30PM,Prince Infocity,Chennai,Chennai,600023,Chennai,600023,11/21/2016,,AR Follow Up,NMBS,APM,7/8/2015,AR,AR Follow Up,Duke,Physicians,ACCESS HEALTHCARE,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04617,1/22/2015,4/15/2016,2016-04,15, Month 12-24,26,Male,UnMarried,08:00PM-05:00AM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Industry Fresher,PIP,3/31/2016,3.42,PIP,3/31/2016,3.42,101.01,96.97,99.58,94.12,100 - 110 %,095 - 098 %,095 - 100 %,090 - 095 %,BE/Btech,10,38,Non-Voice,Day,B,Two Wheeler,22.5,< 1 Hour,50,Employee Left,0,1,0,1,1,Involuntary,Career Growth,DarlinDeepa.Kumarasamy,R00797,R00511,4/9/1990,08:00AM-05:00PM,Tidel 5th,Chennai,Chennai,600063,Salem,637211,10/5/2015,13,AR Follow Up,McKesson,NYU,2/16/2015,AR,AR Follow Up,AGS,AGS,,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04618,1/22/2015,,,22, Month 12-24,23,Female,UnMarried,01:00PM-10:00PM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Fresher,Annually,7/18/2016,3.66,Annually,7/18/2016,3.66,109.64,98.7,112.16,98.94,100 - 110 %,098 - 100 %,110% +,098 - 100 %,BE/Btech,1,0,Non-Voice,Day,B +,Bus,,,0,Current Employee,1,0,0,0,0,,,Sangeetha.Elumalai,R02787,R00267,4/14/1993,08:00AM-05:00PM,Tidel 5th,Chennai,Tiruvallur,600106,Vellore,606904,7/8/2016,,AR Follow Up,Presence Health,Presence Health,8/10/2016,AR,AR Follow Up,Mission Health,Hospital,,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04619,1/22/2015,,,22, Month 12-24,25,Female,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Industry Fresher,Annually,7/22/2016,3.5,Annually,7/22/2016,3.5,100.94,99.33,109.05,97.66,100 - 110 %,098 - 100 %,100 - 110 %,095 - 098 %,BE/Btech,1,0,Non-Voice,Day,B +,Train,,,0,Current Employee,1,0,0,0,0,,,Bhuvaneswari.Hari,R00826,R00267,2/10/1991,,NMR,Chennai,Vellore,631001,Vellore,631001,3/3/2016,,AR Follow Up,McKesson,NYU_Direct,2/16/2015,AR,AR Follow Up,AGS,AGS,,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04635,1/22/2015,8/18/2015,2015-08,7, Month 06-12,24,Male,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Industry Fresher,NA,,,,,,77.93,95.7,75.55,98.44,< 80%,095 - 098 %,< 80%,098 - 100 %,BE/Btech,10.5,0,Non-Voice,Day,NA,Bus,9.5,< 1 Hour,23,Employee Left,0,1,0,1,1,Involuntary,Job abandonment,umamageshwari.c,R00267,R00450,8/6/1991,,Tidel 5th,Chennai,Chennai,600088,Thanjavur,613104,2/13/2015,21,AR Follow Up,McKesson,NYU_Direct,2/16/2015,AR,AR Follow Up,AGS,AGS,,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04636,1/22/2015,6/22/2015,2015-06,5, Month 03-06,25,Male,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Industry Fresher,NA,,,,,,88.49,93.24,,49.5,080 - 095 %,090 - 095 %,< 80%,< 90%,BE/Btech,9,8,Non-Voice,Day,NA,Bus,10.4,< 1 Hour,28,Employee Left,0,1,0,1,1,Involuntary,Job abandonment,Sathish.Neelakandan,R00682,R00511,10/28/1990,,Tidel 5th,Chennai,Chennai,600042,Kanyakumari,629157,4/29/2015,22,AR Follow Up,McKesson,NYU,2/16/2015,AR,AR Follow Up,AGS,AGS,,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04637,1/22/2015,,,22, Month 12-24,23,Female,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Junior Process Associate,Fresher,Annually,7/26/2016,3.74,Annually,7/26/2016,3.74,115.39,98.6,113.13,99.04,110% +,098 - 100 %,110% +,098 - 100 %,BE/Btech,1,42,Non-Voice,Day,B +,Train,,,0,Current Employee,1,0,0,0,0,,,Jennifer.ThangamJoseph,R02856,R00511,6/15/1993,,Elnet,Chennai,Perungudi,600096,Vellore,604307,2/25/2016,,AR Follow Up,Mission Health,Mission Health,4/27/2016,AR,AR Follow Up,McKesson,NYU,,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R04638,1/22/2015,4/13/2015,2015-04,3, Month 01-03,24,Male,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,,49.5,,,< 80%,< 90%,,,BE/Btech,10,0,Non-Voice,Day,NA,Bus,10.4,< 1 Hour,28,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,sathishkumar.raman,R00511,R00450,5/8/1991,,Tidel 5th,Chennai,Chennai,600042,Sivaganga,623401,2/18/2015,20,AR Follow Up,McKesson,NYU,2/16/2015,AR,AR Follow Up,AGS,AGS,,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04639,1/22/2015,7/28/2015,2015-07,6, Month 03-06,22,Female,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Fresher,NA,,,,,,88.29,94.86,49.58,66.12,080 - 095 %,090 - 095 %,< 80%,< 90%,BSc,17,43,Non-Voice,Day,NA,Bus,4.3,< 1 Hour,16,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,umamageshwari.c,R00267,R00450,6/9/1993,,Tidel 5th,Chennai,Chennai,600017,Tirunelveli,627358,2/13/2015,23,AR Follow Up,McKesson,NYU_Direct,2/16/2015,AR,AR Follow Up,AGS,AGS,,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R04643,1/23/2015,7/1/2015,2015-07,5, Month 03-06,23,Male,UnMarried,06:30PM-03:30AM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,NA,,,,,,100.03,95.22,50,50,100 - 110 %,095 - 098 %,< 80%,< 90%,BA/Bcom/BPharm,10,14,Voice,Night,NA,Cab,9.8,< 1 Hour,29,Employee Left,0,0,1,1,1,Voluntary,Job abandonment,pratheesh.gangadharan,R00083,R03378,4/17/1992,,,,Chennai,600005,Senapati,795129,1/0/1900,19,AR Follow Up,MSOC,MSOC,1/29/2015,,,,,Access Healthcare,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R04654,1/29/2015,9/11/2015,2015-09,8, Month 06-12,22,Male,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Trainee - Process Associate,Fresher,PIP,9/10/2015,0.3,PIP,9/10/2015,0.3,92.22,81.32,62.15,96.68,080 - 095 %,< 90%,< 80%,095 - 098 %,BA/Bcom/BPharm,19,0,Non-Voice,Night,E,Train,30,>= 1Hour,90,Employee Left,0,1,0,1,1,Involuntary,Job abandonment,DivyaDevi.Sivashankaran,R00758,R02251,6/27/1993,,NMR,Chennai,Tiruvallur,603109,Tiruvallur,603109,2/17/2015,65,AR Follow Up,Vanderbilt,Vanderbilt,2/17/2015,AR,AR Follow Up,AGS,AGS,,Green,,Accounts Receivable,Revenue Cycle Management,Operations
R04655,1/29/2015,,,22, Month 12-24,23,Female,UnMarried,06:00PM-03:00AM,Elnet,Chennai,Team Member,Junior Process Associate,Industry Fresher,Annually,7/18/2016,3.91,Annually,7/18/2016,3.91,121.35,98.57,117.24,98.92,110% +,098 - 100 %,110% +,098 - 100 %,BE/Btech,2,0,Non-Voice,Night,B +,Bus,,,0,Current Employee,1,0,0,0,0,,,Kamalakkannan.Jayaraman,R03574,R00941,1/7/1993,04:00PM-01:00AM(Day),Elnet,Chennai,Chennai,600082,Vellore,607807,10/27/2016,,AR Follow Up,MedAssets,St Bernard Parish Hospital,7/14/2016,AR,AR Follow Up,MedAssets,St Francis,,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
