"EmployeeCode","ExperienceInAGS","EmployeeAge","Gender","MaritalStatus","WorkLocation","JobRole","ExperienceType","ProdAvgDuringNotice","QualAvgDuringNotice","Course","Last30DaysLeaveCount","TotalExtraHoursWorked","Function","Shift","TransportMode","EngagementIndex","Availability_Filter","Attrition","Available"
"R02805",34,25,"Male","UnMarried","Chennai","Team Member","Fresher",98.38,98.38,"BE/Btech",2,7,"Voice","05:30PM-02:30AM","Cab","Green","Current Employee",0,1
"R02806",21,24,"Male","UnMarried","Chennai","Team Member","Industry Fresher",100.19,100.19,"BA/Bcom/BPharm",3,2,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02808",21,24,"Male","UnMarried","Chennai","Team Member","Industry Fresher",96.31,96.31,"BE/Btech",1,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R02814",25,25,"Male","UnMarried","Chennai","Team Member","Fresher",119.45,119.45,"BCA/BBA",2,8,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R02815",34,25,"Male","UnMarried","Chennai","Desk Head / Team Co-ordinators","Industry Fresher",113.68,113.68,"BE/Btech",3,79,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R02817",34,24,"Male","UnMarried","Chennai","Desk Head / Team Co-ordinators","Lateral",114.75,114.75,"BCA/BBA",1,8,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R02820",29,29,"Male","UnMarried","Chennai","Team Member","Lateral",96.52,96.52,"BCA/BBA",7,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R02828",34,29,"Male","UnMarried","Chennai","Team Member","Lateral",110.29,110.29,"BCA/BBA",3,17,"Voice","06:00PM-03:00AM","Two Wheeler","Red","Current Employee",0,1
"R02830",12,26,"Male","UnMarried","Chennai","Team Member","Lateral",108.28,108.28,"BCA/BBA",3,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02834",13,24,"Female","UnMarried","Chennai","Team Member","Lateral",126.3,126.3,"BA/Bcom/BPharm",17,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02852",22,25,"Male","Married","Chennai","Team Member","Lateral",111.71,111.71,"BSc",2,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R02856",33,29,"Female","Married","Chennai","Team Leader","Lateral",109.51,109.51,"BA/Bcom/BPharm",0,0,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R02859",12,32,"Male","Married","Chennai","Team Member","Lateral",96.2,96.2,"MCA",8.5,4,"Voice","05:30PM-02:30AM","Cab","Amber","Employee Left",1,0
"R02861",33,24,"Female","UnMarried","Chennai","Team Member","Fresher",100.11,100.11,"BE/Btech",1,13,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R02864",14,23,"Female","UnMarried","Chennai","Team Member","Fresher",96.46,96.46,"BE/Btech",10,8,"Non-Voice","08:00AM-05:00PM","Others","Green","Employee Left",1,0
"R02865",33,24,"Female","UnMarried","Chennai","Team Member","Fresher",101.21,101.21,"BE/Btech",0,10,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R02866",33,24,"Female","UnMarried","Chennai","Team Member","Fresher",97.5,97.5,"BE/Btech",2,0,"Non-Voice","06:30AM-03:30PM","Others","Green","Current Employee",0,1
"R02867",33,23,"Female","UnMarried","Chennai","Team Member","Fresher",98.77,98.77,"BCA/BBA",0,4,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R02868",19,23,"Female","UnMarried","Chennai","Team Member","Fresher",102.42,102.42,"BE/Btech",1,24,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R02869",33,25,"Female","UnMarried","Chennai","Team Member","Fresher",124.6,124.6,"BE/Btech",0,1,"Non-Voice","06:30PM-03:30AM","Bus","Green","Current Employee",0,1
"R02871",33,25,"Female","UnMarried","Chennai","Team Member","Fresher",98.66,98.66,"BCA/BBA",2,0,"Non-Voice","10:00AM-07:00PM","Bus","Green","Current Employee",0,1
"R02872",26,25,"Male","UnMarried","Chennai","Team Member","Fresher",102.83,102.83,"BE/Btech",1.5,14,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R02873",33,26,"Male","UnMarried","Chennai","Team Member","Industry Fresher",111.51,111.51,"BE/Btech",1,25,"Non-Voice","06:30AM-03:30PM","Train","Green","Current Employee",0,1
"R02874",33,25,"Female","UnMarried","Chennai","Desk Head / Team Co-ordinators","Fresher",122.81,122.81,"BE/Btech",0,22,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R02875",16,24,"Male","UnMarried","Chennai","Team Member","Fresher",107.31,107.31,"BE/Btech",5.5,9,"Non-Voice","08:00AM-05:00PM","Train","Amber","Employee Left",1,0
"R02876",12,24,"Female","UnMarried","Chennai","Team Member","Industry Fresher",90.37,90.37,"BE/Btech",0,16,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R02877",24,25,"Female","UnMarried","Chennai","Team Member","Fresher",104.24,104.24,"BE/Btech",18,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02883",15,28,"Male","UnMarried","Chennai","Team Member","Industry Fresher",102.52,102.52,"BSc",1,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02887",14,23,"Female","UnMarried","Chennai","Team Member","Fresher",97.15,97.15,"BE/Btech",2,0,"Voice","05:30PM-02:30AM","Cab","Green","Employee Left",1,0
"R02888",33,25,"Female","Married","Chennai","Team Member","Fresher",128.49,128.49,"BE/Btech",11.5,4,"Voice","01:00PM-10:00PM","Cab","Amber","Current Employee",0,1
"R02889",13,23,"Female","UnMarried","Chennai","Team Member","Industry Fresher",109.87,109.87,"BE/Btech",6,8,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02902",21,25,"Male","UnMarried","Chennai","Team Member","Lateral",91.78,91.78,"BCA/BBA",2.5,8,"Voice","04:00PM-01:00AM","Two Wheeler","Green","Employee Left",1,0
"R02903",33,29,"Male","UnMarried","Chennai","Team Member","Lateral",109.36,109.36,"BE/Btech",1,19,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R02912",33,27,"Male","Married","Chennai","Team Member","Lateral",101.3,101.3,"BSc",3,0,"Voice","04:00PM-01:00AM","Others","Green","Current Employee",0,1
"R02913",21,27,"Male","UnMarried","Hyderabad","Team Member","Lateral",139.32,139.32,"BA/Bcom/BPharm",1,7,"Voice","06:30PM-03:30AM","Cab","Amber","Employee Left",1,0
"R02914",33,26,"Female","UnMarried","Hyderabad","Team Member","Lateral",100,100,"BE/Btech",0,8,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R02924",12,25,"Male","UnMarried","Chennai","Team Member","Lateral",77.9,77.9,"Diploma",5,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R02925",23,25,"Male","UnMarried","Vellore","Team Member","Lateral",123.39,123.39,"MBA",16,27,"Voice","04:00PM-01:00AM","Cab","Green","Employee Left",1,0
"R02932",22,23,"Female","UnMarried","Chennai","Team Member","Industry Fresher",98.71,98.71,"BE/Btech",1,21,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R02933",12,23,"Female","UnMarried","Chennai","Team Member","Industry Fresher",91.85,91.85,"BE/Btech",12.5,0,"Voice","01:00PM-10:00PM","Cab","Red","Employee Left",1,0
"R02940",12,23,"Female","UnMarried","Chennai","Team Member","Industry Fresher",80.01,80.01,"BE/Btech",5,6,"Voice","06:30PM-03:30AM","Cab","Amber","Employee Left",1,0
"R02945",12,24,"Female","UnMarried","Chennai","Team Member","Fresher",92.45,92.45,"BE/Btech",2,5,"Voice","06:30PM-03:30AM","Cab","Amber","Employee Left",1,0
"R02947",21,24,"Female","UnMarried","Chennai","Team Member","Fresher",101.37,101.37,"BE/Btech",0,31,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R02948",25,26,"Female","Married","Chennai","Team Member","Industry Fresher",127.91,127.91,"BE/Btech",22,0,"Voice","01:00PM-10:00PM","Cab","Red","Employee Left",1,0
"R02950",26,32,"Female","UnMarried","Chennai","Team Member","Lateral",108.83,108.83,"BCA/BBA",20,0,"Voice","04:00PM-01:00AM","Cab","Amber","Employee Left",1,0
"R02956",33,31,"Female","UnMarried","Chennai","Team Member","Lateral",104.81,104.81,"BE/Btech",1,14,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R02958",33,26,"Female","UnMarried","Chennai","Team Member","Fresher",101.58,101.58,"BE/Btech",2,31,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R02960",33,25,"Female","UnMarried","Chennai","Team Member","Fresher",105.59,105.59,"BE/Btech",1,14,"Non-Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R02962",33,27,"Male","UnMarried","Chennai","Team Member","Fresher",125.61,125.61,"MCA",10,1,"Non-Voice","06:30PM-03:30AM","Bus","Green","Current Employee",0,1
"R02965",33,25,"Female","UnMarried","Chennai","Team Member","Industry Fresher",99.52,99.52,"BE/Btech",4,27,"Non-Voice","08:00PM-05:00AM","Bus","Green","Current Employee",0,1
"R02966",15,26,"Female","UnMarried","Chennai","Team Member","Fresher",83.07,83.07,"MCA",8,8,"Non-Voice","08:00AM-05:00PM","Bus","Green","Employee Left",1,0
"R02968",33,24,"Female","UnMarried","Chennai","Team Member","Fresher",95.5,95.5,"BE/Btech",2,0,"Non-Voice","06:30PM-03:30AM","Two Wheeler","Green","Current Employee",0,1
"R02975",33,25,"Female","UnMarried","Chennai","Team Member","Fresher",102.33,102.33,"BE/Btech",1,55,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R02976",33,25,"Female","UnMarried","Chennai","Team Member","Industry Fresher",111.12,111.12,"BE/Btech",2.5,31,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R03010",33,29,"Male","UnMarried","Vellore","Team Member","Lateral",103.59,103.59,"MCA",4,27,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R03015",25,31,"Female","UnMarried","Chennai","Team Member","Lateral",97.94,97.94,"BSc",5,0,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03016",19,24,"Male","UnMarried","Chennai","Team Member","Lateral",95.64,95.64,"BSc",0,16,"Voice","08:00PM-05:00AM","Cab","Green","Employee Left",1,0
"R03017",33,31,"Female","Married","Chennai","Team Member","Lateral",107.81,107.81,"BA/Bcom/BPharm",3.5,0,"Non-Voice","01:00PM-10:00PM","Cab","Green","Current Employee",0,1
"R03023",20,24,"Female","UnMarried","Chennai","Team Member","Industry Fresher",105.53,105.53,"BE/Btech",6,33,"Voice","01:00PM-10:00PM","Cab","Red","Employee Left",1,0
"R03034",20,24,"Female","UnMarried","Chennai","Team Member","Industry Fresher",102.97,102.97,"BE/Btech",2,18,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03036",32,24,"Female","UnMarried","Hyderabad","Desk Head / Team Co-ordinators","Fresher",73.34,73.34,"MBA",1,60,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03055",32,26,"Male","UnMarried","Chennai","Team Member","Lateral",95.09,95.09,"MA/Mcom",2,1,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03056",32,39,"Male","Married","Chennai","Team Member","Lateral",114.76,114.76,"BCA/BBA",2,1,"Voice","06:00PM-03:00AM","Cab","Red","Current Employee",0,1
"R03057",22,35,"Male","UnMarried","Chennai","Team Member","Lateral",90.35,90.35,"BE/Btech",18,7,"Voice","06:00PM-03:00AM","Cab","Green","Employee Left",1,0
"R03059",32,29,"Male","UnMarried","Chennai","Team Member","Lateral",111.04,111.04,"BA/Bcom/BPharm",2,0,"Voice","06:00PM-03:00AM","Cab","Amber","Current Employee",0,1
"R03060",20,26,"Male","UnMarried","Chennai","Team Member","Lateral",98.67,98.67,"BE/Btech",23,0,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03084",24,25,"Male","Married","Chennai","Team Member","Lateral",84.94,84.94,"MBA",3,18,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03085",19,24,"Male","UnMarried","Chennai","Team Member","Lateral",92.74,92.74,"BSc",1,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03086",32,25,"Male","Married","Chennai","Team Member","Lateral",44.48,44.48,"BSc",0,44,"Voice","10:00AM-07:00PM","Cab","Green","Current Employee",0,1
"R03087",19,25,"Male","UnMarried","Chennai","Team Member","Lateral",97.4,97.4,"BA/Bcom/BPharm",2,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03088",32,25,"Female","Married","Chennai","Team Member","Lateral",126.46,126.46,"MBA",30,0,"Voice","01:00PM-10:00PM","Cab","Green","Current Employee",0,1
"R03091",14,25,"Female","UnMarried","Chennai","Team Member","Lateral",82.75,82.75,"BE/Btech",10,1,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03092",13,27,"Male","UnMarried","Chennai","Team Member","Lateral",89.67,89.67,"Diploma",2,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03093",32,34,"Male","UnMarried","Chennai","Team Member","Lateral",97.63,97.63,"BE/Btech",0,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03097",25,32,"Female","Married","Chennai","Team Leader","Lateral",115.26,115.26,"BSc",2,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03103",32,34,"Male","Married","Chennai","Team Member","Lateral",114.48,114.48,"BA/Bcom/BPharm",1,20,"Voice","06:00PM-03:00AM","Cab","Red","Current Employee",0,1
"R03110",32,25,"Male","UnMarried","Chennai","Team Member","Lateral",122.87,122.87,"BCA/BBA",0,8,"Non-Voice","04:00PM-01:00AM","Train","Green","Current Employee",0,1
"R03117",32,25,"Male","UnMarried","Chennai","Team Member","Industry Fresher",106.06,106.06,"BE/Btech",1.5,8,"Non-Voice","08:00AM-05:00PM","Train","Red","Current Employee",0,1
"R03118",32,25,"Female","Married","Chennai","Team Member","Fresher",99.21,99.21,"BSc",1,12,"Non-Voice","06:30AM-03:30PM","Train","Green","Current Employee",0,1
"R03121",15,23,"Female","UnMarried","Chennai","Team Member","Fresher",117.68,117.68,"BE/Btech",0,8,"Non-Voice","08:00AM-05:00PM","Train","Amber","Employee Left",1,0
"R03122",32,25,"Female","UnMarried","Chennai","Team Member","Industry Fresher",103.47,103.47,"BE/Btech",2.5,0,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R03123",22,24,"Female","UnMarried","Chennai","Team Member","Industry Fresher",86.51,86.51,"BA/Bcom/BPharm",8,28,"Non-Voice","06:00PM-03:00AM","Bus","Red","Employee Left",1,0
"R03124",25,24,"Female","UnMarried","Chennai","Team Member","Fresher",105.39,105.39,"BE/Btech",1,0,"Voice","01:00PM-10:00PM","Bus","Red","Employee Left",1,0
"R03125",32,25,"Female","UnMarried","Chennai","Team Member","Fresher",122.09,122.09,"MSc/Mpharm/MPhil",4,20,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R03126",32,25,"Female","Married","Chennai","Team Member","Industry Fresher",108.93,108.93,"BSc",0,38,"Non-Voice","06:30AM-03:30PM","Train","Green","Current Employee",0,1
"R03128",32,25,"Female","Married","Chennai","Team Member","Fresher",100.33,100.33,"BCA/BBA",1,0,"Non-Voice","06:30AM-03:30PM","Train","Green","Current Employee",0,1
"R03159",19,28,"Male","Married","Chennai","Team Member","Lateral",120.81,120.81,"BE/Btech",2,48,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03162",11,27,"Male","Married","Chennai","Team Leader","Lateral",105.8,105.8,"BE/Btech",10.5,0,"Voice","05:30PM-02:30AM","Two Wheeler","Red","Employee Left",1,0
"R03167",11,29,"Male","UnMarried","Chennai","Team Member","Industry Fresher",56.79,56.79,"BSc",2,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03168",32,24,"Female","Married","Chennai","Team Member","Industry Fresher",128.7,128.7,"BSc",4,7,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03170",19,27,"Male","Married","Chennai","Team Member","Industry Fresher",101.47,101.47,"BCA/BBA",5,0,"Voice","05:30PM-02:30AM","Cab","Green","Employee Left",1,0
"R03173",32,29,"Male","UnMarried","Chennai","Team Member","Industry Fresher",99.67,99.67,"BSc",4,11,"Voice","05:30PM-02:30AM","Cab","Green","Current Employee",0,1
"R03174",32,25,"Female","UnMarried","Chennai","Team Member","Fresher",112.84,112.84,"BE/Btech",0,8,"Voice","01:00PM-10:00PM","Cab","Green","Current Employee",0,1
"R03175",14,21,"Female","Married","Chennai","Team Member","Fresher",102.92,102.92,"BCA/BBA",16.5,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03180",14,23,"Male","UnMarried","Chennai","Team Member","Industry Fresher",98.86,98.86,"BE/Btech",16,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03183",14,26,"Female","UnMarried","Chennai","Team Member","Lateral",128.7,128.7,"MA/Mcom",15,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03188",32,28,"Female","UnMarried","Chennai","Team Member","Lateral",129.62,129.62,"BA/Bcom/BPharm",0,1,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03189",19,26,"Male","UnMarried","Chennai","Team Member","Lateral",101.67,101.67,"BE/Btech",2,0,"Voice","04:00PM-01:00AM","Cab","Amber","Employee Left",1,0
"R03191",32,25,"Male","UnMarried","Chennai","Team Member","Lateral",114.05,114.05,"BA/Bcom/BPharm",1,20,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03192",21,28,"Male","UnMarried","Chennai","Team Member","Lateral",108.23,108.23,"MBA",0,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03210",32,28,"Male","Married","Chennai","Desk Head / Team Co-ordinators","Lateral",120.74,120.74,"BE/Btech",1,62,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03211",20,25,"Male","UnMarried","Chennai","Team Member","Lateral",82.22,82.22,"BE/Btech",2,13,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03213",32,27,"Male","UnMarried","Chennai","Team Member","Lateral",103.33,103.33,"BCA/BBA",3,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03219",32,30,"Male","UnMarried","Chennai","Team Member","Lateral",109.65,109.65,"BE/Btech",2,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03221",13,28,"Male","UnMarried","Chennai","Team Member","Lateral",100.01,100.01,"BSc",21,0,"Voice","05:30PM-02:30AM","Cab","Amber","Employee Left",1,0
"R03222",32,26,"Male","UnMarried","Chennai","Team Member","Lateral",88.96,88.96,"BE/Btech",2,0,"Voice","04:00PM-01:00AM","Cab","Red","Current Employee",0,1
"R03225",12,28,"Male","Married","Chennai","Team Member","Lateral",87.13,87.13,"BA/Bcom/BPharm",20,0,"Voice","05:30PM-02:30AM","Two Wheeler","Green","Employee Left",1,0
"R03230",29,27,"Male","Married","Chennai","Team Member","Lateral",91.59,91.59,"BSc",20,0,"Voice","06:00PM-03:00AM","Cab","Amber","Employee Left",1,0
"R03231",23,28,"Male","UnMarried","Hyderabad","Team Member","Lateral",94.53,94.53,"BCA/BBA",21,20,"Voice","06:30PM-03:30AM","Cab","Red","Employee Left",1,0
"R03238",27,28,"Male","UnMarried","Chennai","Team Member","Lateral",82.34,82.34,"BE/Btech",0,1,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03239",32,25,"Male","UnMarried","Chennai","Team Leader","Lateral",112.26,112.26,"BA/Bcom/BPharm",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03247",28,23,"Female","UnMarried","Chennai","Team Member","Lateral",90.99,90.99,"BCA/BBA",2.5,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03263",11,28,"Female","UnMarried","Chennai","Team Member","Lateral",130.11,130.11,"BSc",19,0,"Voice","05:30PM-02:30AM","Bus","Amber","Employee Left",1,0
"R03280",31,24,"Male","UnMarried","Chennai","Team Member","Fresher",94.98,94.98,"BA/Bcom/BPharm",2,37,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R03310",19,23,"Male","UnMarried","Chennai","Team Member","Lateral",85.78,85.78,"BE/Btech",0,11,"Voice","04:00PM-01:00AM","Others","Red","Employee Left",1,0
"R03319",31,26,"Male","Married","Chennai","Desk Head / Team Co-ordinators","Lateral",108.93,108.93,"BA/Bcom/BPharm",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03322",19,32,"Female","UnMarried","Chennai","Team Member","Lateral",104.16,104.16,"BA/Bcom/BPharm",6,6,"Voice","01:00PM-10:00PM","Bus","Red","Employee Left",1,0
"R03332",31,27,"Female","UnMarried","Chennai","Team Member","Industry Fresher",106.57,106.57,"BSc",0,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03336",12,27,"Female","Married","Chennai","Team Member","Industry Fresher",63.04,63.04,"BE/Btech",17,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03340",12,26,"Female","UnMarried","Chennai","Team Member","Industry Fresher",77.44,77.44,"BE/Btech",4,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03345",11,26,"Male","UnMarried","Chennai","Team Member","Lateral",89.8,89.8,"BCA/BBA",11,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03346",31,26,"Male","Married","Chennai","Team Member","Lateral",113.22,113.22,"BSc",1,0,"Voice","04:00PM-01:00AM","Cab","Green","Current Employee",0,1
"R03347",12,28,"Male","UnMarried","Chennai","Team Member","Industry Fresher",93.28,93.28,"BE/Btech",23,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03348",13,26,"Female","UnMarried","Chennai","Team Member","Industry Fresher",89.8,89.8,"BA/Bcom/BPharm",3,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03349",13,27,"Male","UnMarried","Chennai","Team Member","Industry Fresher",88.98,88.98,"BE/Btech",22,0,"Voice","05:30PM-02:30AM","Bus","Red","Employee Left",1,0
"R03369",18,32,"Male","Married","Chennai","Team Member","Lateral",100.48,100.48,"MBA",19,0,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03371",24,25,"Male","UnMarried","Vellore","Team Member","Lateral",101.89,101.89,"BE/Btech",7,0,"Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03375",12,26,"Female","UnMarried","Chennai","Team Member","Lateral",98.6,98.6,"BSc",2,0,"Voice","05:30PM-02:30AM","Cab","Green","Employee Left",1,0
"R03376",16,22,"Male","UnMarried","Chennai","Team Member","Lateral",105.38,105.38,"BSc",20,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03377",23,23,"Female","UnMarried","Chennai","Team Member","Lateral",92.12,92.12,"BCA/BBA",6,12,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03384",25,25,"Female","UnMarried","Chennai","Team Member","Lateral",100.59,100.59,"BCA/BBA",0.5,5,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03385",21,28,"Female","Married","Chennai","Team Member","Lateral",64.87,64.87,"BCA/BBA",18,5,"Non-Voice","06:00PM-03:00AM","Cab","Red","Employee Left",1,0
"R03398",27,26,"Female","Married","Chennai","Team Member","Lateral",102.29,102.29,"BA/Bcom/BPharm",8,15,"Voice","06:00PM-03:00AM","Cab","Green","Employee Left",1,0
"R03399",18,24,"Male","UnMarried","Chennai","Team Member","Lateral",100.33,100.33,"BE/Btech",4,0,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03408",9,26,"Female","UnMarried","Chennai","Team Member","Industry Fresher",90.96,90.96,"HSC",8,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03413",31,26,"Male","Married","Chennai","Team Member","Industry Fresher",121.08,121.08,"BE/Btech",2,1,"Voice","10:00AM-07:00PM","Cab","Green","Current Employee",0,1
"R03415",16,29,"Male","UnMarried","Chennai","Team Member","Industry Fresher",84.64,84.64,"BE/Btech",2,0,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R03421",14,23,"Female","Married","Chennai","Team Member","Fresher",121.45,121.45,"BE/Btech",19,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03426",31,27,"Male","UnMarried","Chennai","Team Member","Industry Fresher",119.25,119.25,"BSc",0,3,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03427",31,30,"Male","UnMarried","Chennai","Team Member","Industry Fresher",100.84,100.84,"MBA",1,0,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R03429",23,26,"Male","Married","Chennai","Team Member","Lateral",100.04,100.04,"BCA/BBA",2,7,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03432",8,26,"Female","UnMarried","Chennai","Team Member","Lateral",120.12,120.12,"MSc/Mpharm/MPhil",1.5,0,"Non-Voice","08:00AM-05:00PM","Bus","Red","Employee Left",1,0
"R03460",31,28,"Male","UnMarried","Chennai","Team Member","Lateral",115.18,115.18,"HSC",1,0,"Voice","06:30PM-03:30AM","Cab","Green","Current Employee",0,1
"R03464",30,33,"Female","Married","Chennai","Team Member","Lateral",108.83,108.83,"HSC",2,0,"Voice","04:00PM-01:00AM","Cab","Green","Current Employee",0,1
"R03480",30,36,"Male","Married","Chennai","Team Leader","Lateral",118.13,118.13,"MBA",5,17,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R03482",9,27,"Female","UnMarried","Chennai","Team Member","Lateral",66.49,66.49,"MSc/Mpharm/MPhil",15.5,1,"Voice","05:30PM-02:30AM","Cab","Green","Employee Left",1,0
"R03496",30,26,"Male","UnMarried","Chennai","Team Member","Lateral",125.25,125.25,"BA/Bcom/BPharm",7.5,0,"Non-Voice","08:00AM-05:00PM","Cab","Red","Current Employee",0,1
"R03499",30,25,"Female","UnMarried","Chennai","Team Member","Lateral",114.42,114.42,"BCA/BBA",4,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03500",30,29,"Female","Married","Chennai","Team Member","Lateral",114.48,114.48,"BSc",4,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03504",30,25,"Male","Married","Chennai","Desk Head / Team Co-ordinators","Lateral",103.52,103.52,"BCA/BBA",2.5,59,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R03505",30,25,"Female","UnMarried","Chennai","Team Member","Lateral",102.52,102.52,"BE/Btech",3.5,1,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R03510",12,24,"Female","UnMarried","Chennai","Team Member","Industry Fresher",131.12,131.12,"BSc",0,0,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
"R03521",10,21,"Female","UnMarried","Chennai","Team Member","Fresher",99.64,99.64,"BCA/BBA",10,8,"Voice","05:30PM-02:30AM","Cab","Red","Employee Left",1,0
